Participants,Age,Gender,Occupation,DriversLicence,YearDriversLicence,CarGamesPlayed,SimulatorExperience,ComputerGames,CarGames,CarSimulators,Automatic,SART,SUS,Condition,TotalGlanceTime,TotalGlances,TotalCrash,LaneBreaks,UseOfAid,UseOfReference
P1,21,M,Student,1. 10,1.833333333,ETS2,Yes,0-2,0-2,0-2,No,15,85,combination,60.01,63,0,6,0,0
P2,23,M,Student,4. 0,4,,No,0-2,0-2,0-2,Yes,14,80,combination,39.56,63,1,6,0,0
P3,21,F,Student,3. 5,3.416666667,,No,5-Mar,0-2,0-2,Yes,8,75,touch_only,59.16,52,0,9,0,3
P4,22,M,Student,4. 0,4,Assetto Corsa Competizione. Forza Horizon 4 & 5,Yes,5-Mar,0-2,0-2,Yes,15,60,touch_only,22.53,38,0,0,0,0
P5,22,M,Student,4. 6,4.5,Trackmania,No,5+,0-2,0-2,Yes,17,92.5,touch_only,34.22,48,0,2,0,2
P6,21,M,Student,3. 5,3.416666667,,No,5-Mar,0-2,0-2,No,12,90,combination,55.23,80,0,2,0,1
P7,22,M,Student,2. 0,2,,Yes,5+,0-2,0-2,Yes,20,90,combination,32.5,48,0,0,0,0
P8,20,M,Student,2. 8,2.666666667,,No,5-Mar,0-2,0-2,Yes,17,90,touch_only,41.51,50,1,6,0,0
P9,21,M,Student,4. 8,4.666666667,,Yes,0-2,0-2,0-2,Yes,15,80,touch_only,23.96,32,0,2,0,0
P10,21,M,Student,4. 5,4.416666667,,No,5-Mar,0-2,0-2,Yes,14,80,touch_only,41.89,39,1,3,0,1
P11,34,F,Student,16. 0,16,,No,0-2,0-2,0-2,No,12,85,combination,42.23,49,1,9,1,0
P12,23,M,Software developer,6. 1,6.083333333,,No,0-2,0-2,0-2,Yes,17,87.5,combination,25.86,31,0,6,1,0
P13,25,M,Student,6. 8,6.666666667,GTA5,No,5+,0-2,0-2,No,18,47.5,touch_only,38.1,50,0,5,0,0
P14,22,M,Student,4. 0,4,,No,5-Mar,0-2,0-2,Yes,15,82.5,combination,39.03,66,1,3,1,0
P15,25,M,Student,5. 5,5.416666667,,No,5-Mar,0-2,0-2,Yes,10,65,combination,30.76,41,0,3,1,0
P16,24,M,Student,2. 0,2,,No,5+,0-2,0-2,No,18,82.5,touch_only,44.51,52,0,5,0,0
P17,21,M,Student,2. 5,2.416666667,,No,0-2,0-2,0-2,No,4,57.5,touch_only,39.85,38,3,6,0,0
P18,22,F,Student,4. 6,4.5,,No,0-2,0-2,0-2,No,16,75,touch_only,44.03,52,1,4,0,4
P19,21,F,Student,4. 0,4,,No,0-2,0-2,0-2,No,10,87.5,combination,28.89,59,1,3,4,1
P20,23,M,Student,5. 0,5,Need for Speed 2015,No,5-Mar,0-2,0-2,Yes,21,82.5,combination,36.47,44,0,1,0,0
P22,21,M,Student,4. 3,4.25,,No,0-2,0-2,0-2,Yes,13,85,bar,39.58,54,0,7,0,0
P23,28,M,Student,10. 2,10.16666667,,No,0-2,0-2,0-2,No,14,90,acrylic,45.49,64,2,5,0,0
